Activity Id,Students Sets,Subject,Teachers,Room,SKS
303,IF-01-01,23925 - IFB1244 - SISTEM DIGITAL,RFM,LAB,3
304,IF-01-02,23925 - IFB1244 - SISTEM DIGITAL,RFM,KELAS,3
305,IF-01-02,23925 - IFB1244 - SISTEM DIGITAL,RFM,LAB,3
306,IT-02-01,23772 - ITA3253 - PEMROGRAMAN INTEGRATIF,RFM,KELAS,3
307,IT-02-02,23772 - ITA3253 - PEMROGRAMAN INTEGRATIF,RFM,KELAS,3
308,DS-01-01,23877 - DSB1214 - ALGORITMA DAN STRUKTUR DATA,RGT,LAB,3
309,DS-01-01,23877 - DSB1214 - ALGORITMA DAN STRUKTUR DATA,RGT,LAB,3
310,IS-04-04,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,RGT,KELAS,3
311,IS-04-04,23800 - FIA1214 - ALGORITMA  DAN STRUKTUR DATA,RGT,LAB,3
312,IT-02-02,23770 - ITA3273 - PEMBELAJARAN MESIN,RGT,KELAS,3
313,IS-01-01,23836 - ISA40D3 - DATA WAREHOUSE DAN INTELIJEN BISNIS,RIN,KELAS,3
314,IS-03-02,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,KELAS,3
315,IS-03-02,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,LAB,3
316,IS-03-03,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,KELAS,3
317,IS-03-03,23812 - FIA2014 - PERANCANGAN  BASIS DATA,RIN,LAB,3
318,CE-03-01,23257 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,RMU,LAB,1
319,CE-03-02,23257 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,RMU,LAB,1
320,TE-01-01,23352 - TEA40I3 - SISTEM TRANSPORTASI CERDAS,RMU,KELAS,3
321,TE-03-01,23226 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,RMU,KELAS,3
322,TE-03-01,23227 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,RMU,LAB,1
323,TE-03-01,23222 - TEA2211 - PRAKTIKUM MIKROPROSESOR,RMU,LAB,1
324,TE-03-02,23226 - FEA2023 - PENGOLAHAN SINYAL DIGITAL,RMU,KELAS,3
325,TE-03-02,23227 - FEA2021 - PRAKTIKUM PENGOLAHAN SINYAL DIGITAL,RMU,LAB,1
326,TE-03-02,23222 - TEA2211 - PRAKTIKUM MIKROPROSESOR,RMU,LAB,1
327,EE-02-01,23307 - EEA3233 - SISTEM INSTRUMENTASI DAN PENGUKURAN,RSY,KELAS,3
328,EE-04-01,23304 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,RSY,KELAS,3
329,TE-04-02,23188 - FEA1013 - ALGORITMA DAN PEMROGRAMAN,RSY,KELAS,3
330,DB-01-01,23984 - FIB1063 - BAHASA INGGRIS 2,RZK,KELAS,2
331,DB-01-02,23984 - FIB1063 - BAHASA INGGRIS 2,RZK,KELAS,2
332,IS-02-01,23821 - LAA1022 - BAHASA INGGRIS 2,RZK,KELAS,2
333,IS-02-02,23821 - LAA1022 - BAHASA INGGRIS 2,RZK,KELAS,2
334,IS-04-01,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2
335,IS-04-02,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2
336,IS-04-03,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2
337,IS-04-04,23797 - LAA1012 - BAHASA INGGRIS 1,RZK,KELAS,2
338,IT-04-01,23746 - LAA1022 - BAHASA INGGRIS 2,RZK,KELAS,2
339,SE-04-01,23680 - LAA1022 - BAHASA INGGRIS 2,RZK,KELAS,2
340,EE-02-01,23311 - TPA3012 - EKONOMI TEKNIK,SIL,KELAS,2
341,IE-01-01,23641 - IEA40I3 - PERENCANAAN TRANSPORTASI,SIL,KELAS,3
